Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,lat,lon,year,month,day,day_of_year,BA,cause,state,fire_id,fire_name,sfi,fm100,fm1000,vpd,erc,bi,vs,NPP,GDP,Popu,LTC,lat_idx,lon_idx,time_idx,eco_id,fire_class
620215,620215,214,46.80107,-122.9109,2016,9,15,259,6.4,Human,WA,400038465,BUCODA,84.38356018066406,16.73214340209961,18.46071434020996,0.6853570938110352,80.0,80.82191467285156,1.791071534156799,2.2040398839256965,132780208.0,-0.02482823095738523,0.0,10,7,200,7.0,1.0
677422,677422,7421,46.05578,-122.866,2018,7,16,197,6.4,Human,WA,400371382,MILE POST 33,100.0,11.108673095703123,13.363009452819824,1.6649744510650637,100.0,100.0,2.799999952316284,1.7163985537162478,57704968.0,0.17926547653974928,0.0,13,7,222,7.0,1.0
510700,510700,699,47.5359,-123.9857,2012,10,4,278,6.3,Human,WA,201511135,ELK CREEK,100.0,13.790560722351074,18.321683883666992,0.8909438848495483,100.0,100.0,3.7135205268859854,1.1389796336178295,991857.25,-0.29918370660927096,0.0,7,3,153,7.0,1.0
623081,623081,3080,43.05306,-124.43361000000002,2016,5,18,139,6.3,Human,OR,400059238,BOAK ROAD,0.0,19.49209213256836,22.07015419006348,0.4607908129692078,52.32876586914063,0.0,6.721939086914063,-1.5607684772739354,167368960.0,-0.2356135354216389,0.0,25,1,196,7.0,1.0
447059,447059,7058,45.71361,-122.99556,2010,10,22,295,6.25,Human,OR,1397528,DIXIE MTN SLASH,0.0,20.100000381469727,21.78877639770508,0.3197193741798401,51.23287582397461,0.0,3.338775634765625,1.615274453298924,32753878.0,-0.08170680517789812,1.0,14,7,129,7.0,1.0
357032,357032,7031,43.59299,-123.29441,2003,8,20,232,6.19,Human,OR,873744,CHARLES STREET,100.0,12.381632804870604,12.165816307067873,1.719387769699097,100.0,100.0,4.006122589111328,2.6657868193735057,2654920.25,-0.28245471419147306,0.0,23,5,43,7.0,1.0
316074,316074,6073,47.13462802,-123.42137514,2006,5,5,125,6.1,Human,WA,729613,,99.7260284423828,10.316327095031738,20.432653427124023,1.039413332939148,87.67123413085938,100.0,3.820918321609497,0.8162167784429493,212124032.0,-0.2322677369380793,0.0,9,5,76,7.0,1.0
324907,324907,4906,45.78156,-123.27764,2002,4,4,94,6.1,Human,OR,811155,TIMBER RD. #1,75.89041137695312,14.841072082519531,23.94158172607422,0.7844387888908386,67.123291015625,80.27397155761719,2.5943877696990967,2.034921128443905,9203665.0,-0.27576311722435387,0.0,14,6,27,7.0,1.0
357771,357771,7770,43.09883,-124.11433,2006,2,26,57,6.1,Human,OR,874578,ECHO VALLEY,0.0,20.27015495300293,25.09821510314941,0.2307908236980438,32.60274124145508,0.0,6.893877506256104,3.812917021736411,15660075.0,-0.26572572177367515,0.0,25,2,73,7.0,1.0
672034,672034,2033,45.35095,-123.29744,2018,10,11,284,6.1,Human,OR,400348032,OAK RIDGE ROAD FIRE,82.19178009033203,17.70229721069336,20.25127601623535,0.6800254583358765,74.24657440185547,86.02739715576172,4.399744987487793,1.8560387597872137,5009282.5,-0.29583790812571137,0.0,16,5,225,7.0,1.0
247038,247038,7037,39.897889,-123.595561,2001,7,22,203,6.0,Human,CA,325284,MCDERMOTT,78.08219146728516,14.61071491241455,13.82678508758545,1.309999942779541,68.21917724609375,89.8630142211914,8.244643211364746,2.5219639953693544,2154583.5,-0.29918370660927096,0.0,38,4,18,7.0,1.0
317328,317328,7327,47.03359001,-123.05750002,2005,3,13,72,6.0,Human,WA,730973,WINSLOW SOUTH,81.64383697509766,17.79413414001465,23.53010368347168,0.5674489736557007,66.30136871337889,90.1369857788086,4.762755393981934,1.4793923709088603,4829470.0,-0.24565093087231765,0.0,9,6,62,7.0,1.0
